iter	Passed	Remaining
0	113	113749
1	121	60757
2	131	43553
3	139	34636
4	148	29485
5	156	25952
6	165	23528
7	174	21586
8	182	20096
9	190	18815
10	198	17810
11	205	16922
12	213	16245
13	221	15626
14	229	15068
15	236	14564
16	244	14156
17	251	13744
18	260	13430
19	267	13116
20	275	12850
21	283	12584
22	292	12425
23	301	12245
24	310	12095
25	318	11946
26	327	11795
27	335	11640
28	343	11502
29	351	11359
30	359	11243
31	367	11115
32	375	11011
33	383	10891
34	393	10836
35	400	10726
36	409	10645
37	416	10556
38	425	10481
39	434	10436
40	445	10417
41	456	10422
42	467	10395
43	480	10429
44	492	10447
45	501	10396
46	514	10425
47	526	10443
48	535	10391
49	545	10360
50	553	10295
51	562	10256
52	571	10212
53	580	10160
54	588	10118
55	597	10073
56	607	10043
57	614	9986
58	624	9953
59	631	9899
60	640	9857
61	647	9798
62	655	9747
63	663	9696
64	671	9660
65	679	9617
66	688	9583
67	695	9537
68	716	9668
69	725	9640
70	734	9616
71	744	9596
72	763	9690
73	776	9722
74	788	9718
75	796	9686
76	807	9673
77	815	9635
78	824	9613
79	833	9587
80	841	9549
81	850	9523
82	858	9480
83	867	9459
84	875	9429
85	884	9396
86	892	9363
87	900	9330
88	907	9289
89	918	9283
90	929	9281
91	942	9299
92	955	9318
93	965	9310
94	975	9296
95	985	9279
96	993	9245
97	1002	9223
98	1009	9191
99	1019	9175
100	1028	9156
101	1038	9144
102	1048	9131
103	1058	9119
104	1068	9105
105	1077	9088
106	1086	9065
107	1093	9033
108	1102	9009
109	1110	8981
110	1118	8958
111	1126	8929
112	1134	8907
113	1142	8879
114	1150	8857
115	1158	8829
116	1166	8802
117	1173	8772
118	1181	8747
119	1188	8719
120	1198	8702
121	1205	8675
122	1213	8652
123	1221	8627
124	1229	8608
125	1237	8587
126	1246	8568
127	1254	8548
128	1263	8529
129	1271	8506
130	1279	8485
131	1287	8463
132	1294	8439
133	1302	8415
134	1310	8395
135	1318	8376
136	1326	8357
137	1335	8339
138	1343	8321
139	1351	8300
140	1359	8280
141	1367	8260
142	1375	8240
143	1382	8217
144	1389	8196
145	1399	8183
146	1407	8166
147	1415	8146
148	1422	8124
149	1430	8104
150	1437	8081
151	1446	8068
152	1453	8049
153	1462	8033
154	1471	8023
155	1480	8010
156	1490	8004
157	1498	7987
158	1507	7973
159	1515	7957
160	1524	7942
161	1532	7926
162	1540	7911
163	1549	7896
164	1557	7881
165	1565	7866
166	1574	7851
167	1582	7835
168	1590	7821
169	1598	7804
170	1606	7790
171	1614	7773
172	1622	7758
173	1630	7738
174	1637	7721
175	1645	7703
176	1653	7687
177	1661	7672
178	1669	7657
179	1677	7641
180	1685	7625
181	1692	7609
182	1700	7591
183	1708	7576
